,actual_importance,null_importance_0,null_importance_1,null_importance_2,null_importance_3,null_importance_4,null_mean,score_rank
Crystal Caves - Level 2,396.897003809611,0.8812833627065023,0.0,0.0,6.42953340212504,2.9648666381835938,2.0551366806030273,93.0
overall_mean_6c930e6e,396.54227072000504,0.0,1.299774964650472,6.271066745122274,1.711074988047282,11.781983534495035,4.2127800464630125,174.0
mean_num_miss3323d7e9,396.1225089629491,1.4015332857767742,7.0493749777476,0.0,0.0,3.961249907811483,2.4824316342671713,112.0
overall_sum_562cec5f,387.955013414224,1.3722917238871257,0.0,1.0467999776204426,1.4218249320983887,5.835266590118408,1.935236644744873,89.0
overall_sum_5c2f29ca,387.78046510616934,5.177658398946126,0.0,4.785325050354004,6.281599998474121,13.290358304977417,5.906988350550334,250.0
1_ratio,387.74423817793524,7.456316630045572,9.518683354059855,2.912374973297119,3.200349966684977,8.27964989344279,6.273474963506063,261.0
565a3990,385.9402262369792,0.0,0.0,1.7128666241963704,0.0,4.6222083568573,1.267014996210734,70.0
1325467d,385.4738111893336,1.1898667017618816,0.0,1.6503249804178874,1.6939667065938313,14.919066588083902,3.8906449953715003,166.0
Chest Sorter (Assessment)_4030,380.9991358121236,1.5077999432881672,0.0,0.0,0.0,7.403975168863932,1.7823550224304199,86.0
15a43e5b,380.6836447119713,11.745166778564453,0.0,3.1053333282470703,13.468142032623291,18.36280830701192,9.336290089289346,362.0
1340b8d7,378.5758903026581,0.0,0.0,3.0754834016164145,0.0,2.9880083401997886,1.2126983483632405,68.0
4100,378.2081518967947,0.0,0.0,2.9444665908813477,6.300199826558432,12.946841796239218,4.4383016427358,196.0
overall_sum_5348fd84,375.3590095837911,4.702541669209799,3.163933277130127,1.661408265431722,4.78605842590332,4.411024888356526,3.744993305206299,163.0
overall_mean_f6947f54,371.438657104969,0.0,11.415533383687336,11.141383409500122,1.2533166408538818,10.781991561253866,6.918444999059041,290.0
2020,369.7150140206019,0.0,0.0,1.7897833188374836,7.464308261871338,10.021791617075602,3.855176639556885,173.0
accum_std_acc,367.0362678368886,2.491283416748047,1.5100749333699544,0.0,2.90030829111735,12.662916819254557,3.912916692097981,177.0
562cec5f,363.9489208459854,1.3787500063578289,0.0,1.5964667002360027,0.0,0.0,0.5950433413187664,49.0
overall_sum_d185d3ea,363.6708966890971,3.274341583251953,3.2754082679748535,5.890775203704834,4.355324983596802,9.577558279037476,5.274681663513183,239.0
overall_mean_804ee27f,362.05600559711456,3.1063833236694336,0.0,3.9337332248687744,2.708983262379964,11.284383296966553,4.206696621576945,197.0
mean1_round_Air Show_max,357.5636221965154,0.0,0.0,0.0,1.4738249778747559,1.8298333485921223,0.6607316652933756,54.0
count_game_diff_assessment,345.1126314202944,0.0,1.4610333442687988,3.2632416089375815,0.0,15.33454179763794,4.011763350168865,200.0
overall_mean_8fee50e2,343.1527147293091,1.5414667129516602,0.0,1.1288750171661377,3.2196249961853027,12.907724936803183,3.759538332621257,188.0
overall_sum_fcfdffb6,340.89454112450284,2.821608304977417,1.7450583775838215,3.2199667294820147,1.1972417036692302,6.774808327356975,3.151736688613892,156.0
overall_sum_4ef8cdd3,340.55013501644135,6.818566719690958,0.0,7.658174991607666,0.0,1.5485000610351562,3.2050483544667556,157.0
overall_mean_895865f3,338.36261103550595,0.0,1.2884249687194824,6.498541752497355,2.9386583964029946,24.273000081380207,6.9997250398000075,324.0
overall_mean_c58186bf,336.70521601041156,0.0,8.628975073496502,2.9554583231608076,1.8017999331156414,11.491183201471964,4.975483306248983,249.0
mean1_round_Bottle Filler (Activity)_max,335.2829463481903,1.331624984741211,0.0,4.292683283487955,2.983675003051758,2.5911749203999834,2.239831638336182,121.0
overall_mean_3edf6747,326.78126645088196,1.2292749881744385,0.0,2.7266999880472818,2.970808267593384,6.888391574223837,2.763034963607788,148.0
884228c8,323.4301261305809,6.062249819437662,2.615366617838542,0.0,3.605416615804036,13.916325092315674,5.2398716290791825,270.0
587b5989,321.1240739623706,0.0,2.9294334252675376,1.49399995803833,3.5999334653218584,4.85770829518636,2.5762150287628174,140.0
last_5_accum_std_acc,317.6695138812065,15.827133258183796,1.460391680399577,7.26300843556722,4.605849981307983,14.166491826375324,8.66457503636678,420.0
overall_mean_fcfdffb6,316.6021973490715,1.7335500717163086,0.0,1.440749963124593,3.527833382288615,54.10731705029806,12.161890093485514,531.0
mean_num_miss36fa3ebe,311.9360294540723,0.0,0.0,0.0,0.0,6.896133422851563,1.3792266845703127,92.0
Bird Measurer (Assessment)_4070,305.29628606637317,5.302791595458984,0.0,1.3767250378926594,25.426316499710083,17.41611663500468,9.904389953613281,469.0
overall_sum_56817e2b,302.8136418859164,0.0,0.0,4.978183269500732,0.0,2.921808401743571,1.5799983342488606,107.0
overall_sum_f5b8c21a,297.6339214841525,1.580875078837077,0.0,2.4585416316986084,2.9765000343322754,1.3315749963124592,1.669498348236084,114.0
overall_mean_d06f75b5,293.4573226769765,1.3315916856129963,4.254066626230876,3.979950110117594,1.6401416460673015,20.499858061472573,6.341121625900268,337.0
overall_sum_598f4598,286.8563555081685,0.0,0.0,0.0,1.6338499387105305,8.327150185902914,1.992200024922689,129.0
overall_mean_3323d7e9,281.97330474853516,0.0,0.0,10.950500170389812,7.3470416863759365,3.8167166709899902,4.422851705551148,269.0
3afde5dd,281.09747878710425,0.0,2.566333293914795,0.0,3.9342916806538906,5.325533231099446,2.3652316411336267,153.0
overall_mean_de26c3a6,280.3106053471565,3.983050028483073,0.0,22.914108276367188,0.0,17.987541755040485,8.976940011978149,467.0
8fee50e2,278.1900868018468,1.3480916023254395,0.0,0.0,0.0,0.0,0.2696183204650879,52.0
overall_mean_3d63345e,277.17361533641815,15.814158121744793,7.671850045522055,0.0,0.0,121.04623230298361,28.90644809405009,807.0
Crystal Caves - Level 1,276.8046601017316,0.0,0.0,9.01484990119934,0.0,8.546250025431315,3.512219985326131,224.0
overall_mean_83c6c409,274.92471613486606,10.582091808319092,5.526925086975098,3.2560917536417646,3.4408249855041504,19.819783210754395,8.5251433690389,458.0
37db1c2f,271.3580764532089,0.0,0.0,4.760033448537191,3.0164748827616377,10.552016735076904,3.6657050132751463,238.0
mean_num_miss1c178d24,270.42876303195953,4.800633271535238,3.8637583255767822,1.9832000732421875,0.0,6.440208435058594,3.4175600210825605,225.0
mean1_round_Dino Dive_max,267.5199677348137,0.0,0.0,2.5202833811442056,7.227674961090088,3.041375001271566,2.557866668701172,175.0
overall_mean_6088b756,266.05178769429523,1.4261083602905273,9.871224959691364,5.187741597493489,5.840349912643433,11.530891815821331,6.771263329188028,400.0
Mushroom Sorter (Assessment)_2010,263.9494297107061,0.0,0.0,0.0,0.0,1.801966667175293,0.3603933334350586,57.0
overall_mean_d88ca108,261.75178362925845,3.414183298746745,3.1242499351501465,4.077658335367838,2.5933916568756104,3.9937000274658203,3.440636650721232,232.0
